2019.03.21 07:34:22 INFO  web[][o.s.s.p.w.MasterServletFilter] Initializing servlet filter org.sonar.server.authentication.ws.ValidateAction@7ec720d [pattern=UrlPattern{inclusions=[/api/authentication/validate], exclusions=[]}]
2019.03.21 07:34:22 INFO  web[][o.s.s.e.IndexerStartupTask] Indexing of type [rules/rule/activeRule] ...
2019.03.21 07:34:24 INFO  web[][o.s.s.e.IndexerStartupTask] Indexing of type [rules/rule/activeRule] done | time=1912ms
2019.03.21 07:34:24 INFO  web[][o.s.s.e.IndexerStartupTask] Indexing of types [rules/rule],[rules/rule/ruleExtension] ...
2019.03.21 07:34:30 INFO  web[][o.s.s.e.IndexerStartupTask] Indexing of types [rules/rule],[rules/rule/ruleExtension] done | time=6304ms
2019.03.21 07:34:30 INFO  web[][o.s.s.e.IndexerStartupTask] Indexing of type [users/user] ...
2019.03.21 07:34:30 INFO  web[][o.s.s.e.IndexerStartupTask] Indexing of type [users/user] done | time=223ms
2019.03.21 07:34:30 INFO  web[][o.s.s.e.IndexerStartupTask] Indexing of type [components/auth/component] ...
2019.03.21 07:34:31 INFO  web[][o.s.s.e.IndexerStartupTask] Indexing of type [components/auth/component] done | time=82ms
2019.03.21 07:34:31 INFO  web[][o.s.s.e.IndexerStartupTask] Indexing of type [views/view] ...
2019.03.21 07:34:31 INFO  web[][o.s.s.e.IndexerStartupTask] Indexing of type [views/view] done | time=134ms
2019.03.21 07:34:31 INFO  web[][o.s.s.e.IndexerStartupTask] Indexing of type [issues/auth/issue] ...
2019.03.21 07:34:31 INFO  web[][o.s.s.e.IndexerStartupTask] Indexing of type [issues/auth/issue] done | time=93ms
2019.03.21 07:34:31 INFO  web[][o.s.s.e.IndexerStartupTask] Indexing of types [components/auth],[projectmeasures/auth],[issues/auth] ...
2019.03.21 07:34:31 INFO  web[][o.s.s.e.IndexerStartupTask] Indexing of types [components/auth],[projectmeasures/auth],[issues/auth] done | time=119ms
2019.03.21 07:34:31 INFO  web[][o.s.s.e.IndexerStartupTask] Indexing of type [projectmeasures/auth/projectmeasure] ...
2019.03.21 07:34:31 INFO  web[][o.s.s.e.IndexerStartupTask] Indexing of type [projectmeasures/auth/projectmeasure] done | time=105ms
2019.03.21 07:34:31 INFO  web[][o.s.s.p.p.PlatformLevelStartup] Running Community Edition
2019.03.21 07:34:31 INFO  web[][o.s.s.p.Platform] WebServer is operational
